Restaurant Name,Website,Email,Phone,Address,City,Status,Chatbot Detected
Harry's Charbroiled,https://harryscharbroiled.com,N/A,+1-647-342-6307,293 Palmerston Avenue,Toronto,Has Chatbot,Generic Chat
Drom Taberna,https://www.dromtaberna.com/,"drom.taberna@gmail.com, reservations@dromtaberna.com, user@domain.com",+1-647-748-2099,458 Queen Street West,Toronto,No Chatbot (HOT PROSPECT),None
Stella's Kitchen,https://fabrestaurants.ca/restaurant/stellas-kitchen/,N/A,+1-416-967-7687,182 Dupont Street,Toronto,Unreachable Website,N/A
Toro Toro,https://www.torotoro.ca/,"careers@torotoro.ca, catering@torotoro.ca, hello@torotoro.ca, marketing@torotoro.ca, sales@torotoro.ca, user@domain.com",+1-416-323-1666,N/A,GTA,No Chatbot (HOT PROSPECT),None
Mexitaco,https://mexitaco.com/,"impallari@gmail.com, mexitacotoronto@hotmail.com, team@latofonts.com",N/A,1109 Victoria Park Avenue,GTA,No Chatbot (HOT PROSPECT),None
Pisac Peruvian Bistro,https://www.pisacbistro.com/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, pisacbistro@gmail.com",+1-416-515-0989,195 Carlton Street,Toronto,No Chatbot (HOT PROSPECT),None
Chew Chew's Diner,http://www.chewchewsdiner.ca,N/A,+1-416-924-7583,186 Carlton Street,Toronto,Unreachable Website,N/A
Kyoto House Japanese Restaurant,https://kyoto-house.goto-place.com/,"brands@localoria.com, localoria.com@gmail.com, partners@localoria.com, support@localoria.com, you@example.com, you@localoria.com, your@email.com",+1-416-585-2223,143 Dundas Street West,Toronto,No Chatbot (HOT PROSPECT),None
Gyubee Japanese Grill,https://www.gyubeejapanesegrill.com/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, INFO@GYUBEEJAPANESEGRILL.COM",+1-416-639-1545,157 Dundas Street West,GTA,No Chatbot (HOT PROSPECT),None
Hemispheres Restaurant Bistro,https://www.hemispheres.com/,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, example@mysite.com, reservations@hemispheres.com",+1 4165998000,110 Chestnut Street,Toronto,No Chatbot (HOT PROSPECT),None
Fran's Restaurant,https://fransrestaurant.com/,N/A,+1-416-304-0085,20 Shuter Street,Toronto,No Chatbot (HOT PROSPECT),None
Hexagon,https://www.hexagonrestaurant.com/,inquiries@hexagonrestaurant.com,N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None
Piazza Bistro,https://www.piazzabistro.ca/,N/A,+1-905-618-0255,94 George Street,Oakville,Unreachable Website,N/A
Congee Wong,https://www.congeewong.com,N/A,+1 416-493-8222,11 Ravel Road,Toronto,No Chatbot (HOT PROSPECT),None
